Name CAS A B C D E F G
1,2,4-Trimethylbenzol 95-36-3 531,4374 13,9593 -1,2014 -26,5814 156,1717 -248,3199 167,1423
1,3,5-Trimethylbenzol 108-67-8 759,3563 14,4362 -307,7057 -1,3812 17,7781 -33,6487 27,8002
1,2,3,4-Tetramethylbenzol 488-23-3 569,2235 15,7579 5,5793 -36,6740 237,6957 -384,0478 257,8036
1,2,3,5-Tetramethylbenzol 527-53-7 425,1269 29,6833 10,6318 -59,1867 258,9429 -389,8433 231,4145
1,2,4,5-Tetramethylbenzol 95-93-2 496,9808 21,4489 10,2592 -59,7259 294,1429 -449,9035 282,1546
Pentamethylbenzol 700-12-9 518,4634 20,1576 9,4405 -50,8594 287,9065 -455,8520 296,4273
Hexamethylbenzol 87-85-4 503,3786 22,0085 5,6201 -36,1051 211,8811 -343,8426 227,8486
Styrol 100-42-5 614,9612 14,2195 1,6222 -45,1906 248,7041 -395,9648 237,9188
Isopropylbenzol 98-82-8 541,8872 28,4457 5,2895 -54,7513 249,1932 -373,2738 210,7473
Biphenyl 92-52-4 839,2611 29,0956 -840,9403 -1,7659 18,1764 -34,5202 27,6537
Diphenylmethan 101-81-5 912,0247 0,3789 -7,3276 68,9251 -6,9247 -117,1357 156,2244
Triphenylmethan 519-73-3 693,7541 12,2683 -1,5320 -26,8670 285,6544 -503,9054 335,7974
Tetraphenylmethan 630-76-2 704,0798 11,6368 -13,1994 -10,6609 180,0007 -329,3314 227,2214
Naphthalin 91-20-3 810,0175 5,4557 -126,8803 -0,3906 20,9245 -42,2188 34,6214
1-Methylnaphthalin 90-12-0 737,4298 13,6993 4,6727 -76,5654 524,0127 -924,2788 562,5966
2-Methylnaphthalin 91-57-6 692,3897 7,8093 -0,1056 -21,8522 268,0494 -481,6940 328,2843
1-Ethylnaphthalin 1127-76-0 688,2104 9,5394 -3,1238 -18,5037 207,2486 -373,2825 253,7499
2-Ethylnaphthalin 939-27-5 701,0440 9,2404 -1,2002 -16,7838 224,0503 -407,6486 281,3767
Methanol 67-56-1 846,6321 5,7309 -4,8842 -12,8501 78,9997 -127,3725 82,7107
Ethanol 64-17-5 1165,8648 4,7021 9,7786 -1,1769 -135,7676 322,7596 -247,7349
Propanol 71-23-8 506,0032 12,1539 0,0041 -36,1389 175,9466 -276,1927 171,3886
Butanol 71-36-3 492,3989 18,1172 0,2036 -41,5543 192,4340 -295,5686 175,0644
Pentanol 71-41-0 456,0466 26,3377 5,3197 -51,8114 223,3194 -331,4368 188,1740
Hexanol 111-27-3 539,7646 13,6357 -2,5712 -21,6173 133,0466 -212,0847 143,2168
Heptanol 111-70-6 472,7577 32,1074 12,4362 -65,6487 284,9801 -418,5724 235,1440
Oktanol 111-87-5 473,5372 21,6301 3,8006 -36,3164 182,8327 -277,2652 176,9866
Isopropanol 67-63-0 313,1069 8,9622 9,4168 702,9447 -3295,0820 5345,6249 -3435,8607
Isobutanol 78-83-1 798,5957 9,0864 1,3782 -21,1202 195,9087 -342,6424 230,5518
Isopentanol 123-51-3 551,4814 3,6966 -0,0476 15,9099 144,3529 -303,3896 290,0544
Ethylenglykol 107-21-1 316,7902 3,0524 3,5846 -152,7628 212,9447 84,6065 -662,8113
1,3-Propylenglykol 504-63-2 764,0921 18,9126 -9,9306 -31,5200 172,4209 -303,9785 193,8688
Glyzerin 56-81-5 830,0781 16,2564 -11,1044 -25,4696 162,1117 -309,8217 212,4448
Cyclohexanol 108-93-0 335,6044 3,1522 -2,1230 29,3992 -48,7158 11,4720 130,4559
Benzylalkohol 100-51-6 806,5585 9,1764 -22,3177 -13,5166 111,0271 -211,6739 146,7900
o-Kresol 95-48-7 781,3184 1,5589 -4,2264 52,1150 -23,7416 -39,2506 93,9738
m-Kresol 108-39-4 711,0546 -1,1668 -7,9357 48,3832 -20,0224 -58,0273 111,3934
p-Kresol 106-44-5 493,7805 6,6781 -4,1148 -23,5492 172,1028 -293,9660 200,9190
Phenol 108-95-2 344,0544 12,3852 -3,4905 -38,7742 183,2357 -287,4124 175,9400
Ameisensäure 64-18-6 1422,9543 3,5792 -2,8439 8,3366 48,7114 -138,2338 113,0764
Essigsäure 64-19-7 608,8356 5,1040 0,3115 -18,4327 135,3287 -205,9415 138,0387
Propionsäure 79-09-4 457,0683 5,1709 -3,4822 -24,0638 172,4621 -312,7397 215,4305
Buttersäure 107-92-6 459,6913 5,9009 4,0620 3,9149 181,7266 -291,7462 291,5314
Valeriansäure 109-52-4 514,8584 6,6566 2,2909 -9,1907 194,6026 -358,7199 290,3090
Capronsäure 142-62-1 451,7423 7,1043 -2,0512 -11,4873 139,7141 -261,2768 206,1596
Essigsäureanhydrid 108-24-7 539,2754 16,7548 -0,7395 -39,4099 184,3347 -277,7276 159,5938
Propionsäureanhydrid 123-62-6 532,8036 -3,1593 -10,1506 49,8107 -27,4669 -59,7251 135,5787
Monochloressigsäure 79-11-8 513,1194 5,0317 0,1128 -13,7464 135,2842 -240,6474 169,3052
Dichloressigsäure 79-43-6 817,0589 10,0416 4,6688 -22,0572 170,5135 -302,1516 192,3847
Trichloressigsäure 76-03-9 576,9782 8,1143 3,1010 -8,6521 139,2451 -275,8220 193,3559
Keten 463-51-4 468,8498 6,9008 -5,6398 -17,1500 88,2773 -144,6588 91,7470
Aceton 67-64-1 705,8948 7,7263 0,4677 -23,3910 148,3440 -229,3625 144,1393
Methylethylketon 78-93-3 482,3897 15,6860 4,3811 -42,2777 189,9671 -285,2067 172,9528
Diethylketon 96-22-0 1765,2345 9,0644 -1,5515 40,2552 -22,0621 -74,5494 104,5099
Dipropylketon 123-19-3 735,3618 14,3567 9,4665 -32,5304 310,8597 -478,7656 302,7430
Acetophenon 98-86-2 763,6426 10,1937 -2,3585 -29,5326 204,0248 -329,8159 198,9534
Benzophenon 119-61-9 733,7134 6,6859 -0,9461 -4,1615 224,2713 -394,9366 268,1667
Dimethylether 115-10-6 465,9073 10,4329 -2,4883 -24,9240 115,5549 -180,8060 116,0588
Diethylether 60-29-7 2983,3712 10,7009 -42,8010 -5,8344 309,3391 -1779,9754 3121,8402
Dipropylether 111-43-3 705,4836 15,9106 6,9763 -38,3882 243,6142 -372,7539 231,0957
Methylpropylether 557-17-5 882,1014 9,7244 0,6484 -12,9184 142,8094 -245,9753 166,8905
Ethylpropylether 628-32-0 1138,2872 9,6137 1,3570 5,9532 147,9699 -323,5530 242,4878
Ethylenoxid 75-21-8 634,8610 5,7870 -8,5443 -15,4287 89,6330 -144,6410 92,4648
Furan 110-00-9 486,3671 12,0372 -4,5658 -36,8218 170,9486 -259,5831 148,5210
1,4-Dioxan 123-91-1 484,0338 15,6011 -0,2760 -44,0774 198,9436 -295,1276 172,8842
Formaldehyd 50-00-0 1636,6439 4,0763 -17,0910 -2,4580 38,3216 -87,5064 71,7045
Acetaldehyd 75-07-0 586,5086 6,5867 0,0587 -20,9195 110,1906 -164,8871 107,6335
Paraldehyd 123-63-7 773,1687 27,7745 -44,6451 -25,3175 148,3349 -268,2676 171,6125
Furfural 98-01-1 413,7560 7,7545 1,2143 -39,4944 214,9979 -331,8139 211,2817
Benzaldehyd 100-52-7 671,1861 8,3938 -1,9508 -26,9338 201,7159 -344,2504 219,1408
Salicylaldehyd 90-02-8 669,6069 5,1161 0,0212 3,1101 172,7490 -303,1054 213,6292
Ameisensäuremethylester 107-31-3 650,0705 5,0360 -0,4487 -13,5453 126,9502 -219,5695 151,4586
Ameisensäureethylester 109-94-4 404,9129 3,7636 0,9389 10,0507 93,3832 -253,2640 280,9690
Ameisensäurepropylester 110-74-7 648,4015 11,8633 -2,9629 -29,6799 181,7404 -312,5326 200,3552
Essigsäuremethylester 79-20-9 1067,5571 5,8357 3,3580 24,4866 171,0516 -317,8321 204,6031
Essigsäureethylester 141-78-6 750,2984 19,6540 -1,2186 -36,4137 186,0861 -297,5340 174,1510
Essigsäurepropylester 109-60-4 468,6307 6,3075 4,6248 25,2463 171,5921 -323,6548 393,4110
Propionsäuremethylester 554-12-1 511,6446 8,3735 -3,5348 -32,5843 210,7834 -374,4899 246,1545
Propionsäureethylester 105-37-3 573,7088 7,7317 -1,7971 -24,4531 206,2430 -371,7278 254,3115
Propionsäure-n-propylester 106-36-5 578,4427 8,0466 -10,2830 -14,6931 135,7510 -254,7277 179,9220
Buttersäuremethylester 623-42-7 481,5596 7,2303 -4,7969 -24,3266 182,1370 -329,2853 227,0399
Buttersäureethylester 105-54-4 611,9893 8,3737 -6,7042 -12,5524 135,5255 -253,6930 181,7482
Benzoesäuremethylester 93-58-3 777,6575 19,3345 -21,9744 -26,0082 154,6223 -274,4153 175,8682
Benzoesäureethylester 93-89-0 746,8498 13,3061 -3,6685 -38,3335 264,3178 -475,3466 308,6488
Salicylsäuremethylester 119-36-8 731,4071 11,4812 -1,4487 -32,3335 247,6723 -444,5874 288,4964
Methylamin 74-89-5 526,2987 8,1347 -6,7634 -19,4168 99,1609 -161,5452 102,4923
Ethylamin 75-04-7 536,5039 13,9460 -0,9874 -33,9284 152,3293 -230,0192 135,6922
n-Propylamin 107-10-8 485,4942 20,2338 1,8071 -40,8876 174,7357 -258,6134 148,6605
n-Butylamin 109-73-9 521,8162 22,5154 3,3114 -43,2202 190,4295 -283,4029 163,9525
Dimethylamin 124-40-3 517,1446 13,7294 -1,4905 -33,7718 150,1642 -224,7214 131,9666
Trimethylamin 75-50-3 556,5448 8,8001 1,0661 -31,1281 176,1563 -265,6208 170,2390
Diethylamin 109-89-7 481,9254 24,4069 7,0965 -51,6239 214,2465 -308,3217 173,5640
Triethylamin 121-44-8 471,8903 40,9534 6,6919 -46,2079 186,7660 -265,4862 145,4154
Piperidin 110-89-4 789,5315 14,3328 -7,2974 -28,8283 185,2647 -313,8948 186,7509
Pyridin 110-86-1 931,3885 -0,2894 -4,7426 61,0122 -41,5212 -31,1320 87,8622
Anilin 62-53-3 553,0789 10,0504 -2,1951 -33,8931 200,8168 -328,5051 204,3701
N-Methylanilin 100-61-8 617,5389 4,7482 -4,0307 -16,4466 192,1456 -342,6990 234,9554
N,N-Dimethylanilin 121-69-7 588,2014 2,5877 -2,6448 -3,1347 202,5766 -325,4600 235,2223
N,N-Diethylanilin 91-66-7 695,7592 8,7586 -8,2134 -16,8824 178,2587 -319,5727 215,8269
Phenylhydrazin 100-63-0 596,7362 3,9280 -2,2980 -14,6956 225,7757 -416,3451 292,5245
Diphenylamin 122-39-4 705,0600 5,5301 -7,3743 -12,6309 204,7976 -387,7767 268,3223
Acetonitril 75-05-8 575,7440 5,8067 -0,7216 -15,8722 92,6961 -149,0017 101,9069
Acrylnitril 107-13-1 723,3302 4,3319 5,9877 -9,8823 -133,1334 242,5700 -182,5002
Propionitril 107-12-0 467,1284 11,0885 -1,3805 -31,1335 148,5534 -234,2472 144,0482
Butyronitril 109-74-0 495,5976 11,9010 4,4644 -53,0329 268,1488 -426,2804 263,2369
Benzonitril 100-47-0 486,6942 17,2633 2,8971 -49,4846 226,3075 -336,3367 190,1459
Formamid 75-12-7 771,4776 6,0800 -8,0917 -13,8793 84,4610 -140,6239 89,9474
Nitromethan 75-52-5 1055,4685 5,3794 -10,9553 -8,2607 88,4218 -187,4973 138,2815
